County,county,fips
Allegany,allegany,24001
Anne Arundel,anne_arundel,24003
Baltimore County,baltimore,24005
Baltimore City,baltimore_city,24510
Calvert,calvert,24009
Caroline,caroline,24011
Carroll,carroll,24013
Cecil,cecil,24015
Charles,charles,24017
Dorchester,dorchester,24019
Frederick,frederick,24021
Garrett,garrett,24023
Harford,harford,24025
Howard,howard,24027
Kent,kent,24029
Montgomery,montgomery,24031
Prince George's,prince_georges,24033
Queen Anne's,queen_annes,24035
Somerset,somerset,24039
St. Mary's,st_marys,24037
Talbot,talbot,24041
Washington,washington,24043
Wicomico,wicomico,24045
Worcester,worcester,24047
